Behavioral Domain	Neural Networks	Citation	Species	Notes
Reading	Auditory	Thompson and Fransson (2017)		
Semantic	Auditory	Thompson and Fransson (2017)		
Auditory	Auditory	Thompson and Fransson (2017)		
Speech Production	Auditory	Thompson and Fransson (2017)		
Language	Auditory	Thompson and Fransson (2017)		
Language Comprehension	Auditory	Thompson and Fransson (2017)		
Naming	Auditory	Thompson and Fransson (2017)		
Lexical	Auditory	Thompson and Fransson (2017)		
Phonological	Auditory	Thompson and Fransson (2017)		
Temporal frontal	Auditory	Thompson and Fransson (2017)		
Fronto temporal	Auditory	Thompson and Fransson (2017)		
Categorization	Auditory	Thompson and Fransson (2017)		
Access	Auditory	Thompson and Fransson (2017)		
Coding 	Auditory	Thompson and Fransson (2017)		
Task Control	Auditory	Thompson and Fransson (2017)		
Integration	Auditory	Thompson and Fransson (2017)		
Self	Default mode	Thompson and Fransson (2017)		
Social	Default mode	Thompson and Fransson (2017)		
Self referential	Default mode	Thompson and Fransson (2017)		
Social cognition	Default mode	Thompson and Fransson (2017)		
Temporal parietal	Default mode	Thompson and Fransson (2017)		
Identification	Default mode	Thompson and Fransson (2017)		
Context	Default mode	Thompson and Fransson (2017)		
Dorsal attention	Default mode	Thompson and Fransson (2017)		
Inhibitory	Default mode	Thompson and Fransson (2017)		
Task positive 	Default mode	Thompson and Fransson (2017)		
Salience	Default mode	Thompson and Fransson (2017)		
Belief	Default mode	Thompson and Fransson (2017)		
Autobiographical memory	Default mode	Thompson and Fransson (2017)		
Empathy	Default mode	Thompson and Fransson (2017)		
Default mode	Default mode	Thompson and Fransson (2017)		
Perspective	Default mode	Thompson and Fransson (2017)		
Knowledge	Default mode	Thompson and Fransson (2017)		
Evaluation	Default mode	Thompson and Fransson (2017)		
Mentalizing	Default mode	Thompson and Fransson (2017)		
Mind	Default mode	Thompson and Fransson (2017)		
Inference	Default mode	Thompson and Fransson (2017)		
Morphological	Default mode	Thompson and Fransson (2017)		
Navigation	Default mode	Thompson and Fransson (2017)		
Memory	Default mode	Thompson and Fransson (2017)		
Episodic memory	Default mode	Thompson and Fransson (2017)		
Memory retrieval	Default mode	Thompson and Fransson (2017)		
Recognition memory	Default mode	Thompson and Fransson (2017)		
Recollection	Default mode	Thompson and Fransson (2017)		
Memory encoding	Default mode	Thompson and Fransson (2017)		
Hippocampal	Default mode	Thompson and Fransson (2017)		
Semantic memory	Default mode	Thompson and Fransson (2017)		
Olfactory	Default mode	Thompson and Fransson (2017)		
Reward	Default mode	Thompson and Fransson (2017)		
Affect	Default mode	Thompson and Fransson (2017)		
Emotion	Default mode	Thompson and Fransson (2017)		
Arousal	Default mode	Thompson and Fransson (2017)		
Emotion regulation	Default mode	Thompson and Fransson (2017)		
Negative affect	Default mode	Thompson and Fransson (2017)		
Fear 	Default mode	Thompson and Fransson (2017)		
Limbic	Default mode	Thompson and Fransson (2017)		
Confidence	Default mode	Thompson and Fransson (2017)		
Prefrontal temporal	Default mode	Thompson and Fransson (2017)		
Detection	Default mode	Thompson and Fransson (2017)		
Examination	Default mode	Thompson and Fransson (2017)		
Distress	Default mode	Thompson and Fransson (2017)		
Frontostriatal	Default mode	Thompson and Fransson (2017)		
Basal ganglia	Default mode	Thompson and Fransson (2017)		
Subcortical	Default mode	Thompson and Fransson (2017)		
Sexual	Default mode	Thompson and Fransson (2017)		
Stress	Default mode	Thompson and Fransson (2017)		
Sustained attention	Default mode	Thompson and Fransson (2017)		
Assessment	Default mode	Thompson and Fransson (2017)		
Awareness	Default mode	Thompson and Fransson (2017)		
Interacting	Default mode	Thompson and Fransson (2017)		
Practice	Default mode	Thompson and Fransson (2017)		
Visual	Visual	Thompson and Fransson (2017)		
Sensorimotor	Visual	Thompson and Fransson (2017)		
Visual attention	Visual	Thompson and Fransson (2017)		
Visuomotor	Visual	Thompson and Fransson (2017)		
Visuospatial	Visual	Thompson and Fransson (2017)		
Reasoning	Visual	Thompson and Fransson (2017)		
Prefrontal parietal	Visual	Thompson and Fransson (2017)		
Retrieval	Visual	Thompson and Fransson (2017)		
Switching	Visual	Thompson and Fransson (2017)		
Working memory	Visual	Thompson and Fransson (2017)		
Attentional control	Visual	Thompson and Fransson (2017)		
Competing	Visual	Thompson and Fransson (2017)		
Preparation	Visual	Thompson and Fransson (2017)		
Orienting	Visual	Thompson and Fransson (2017)		
Planning	Visual	Thompson and Fransson (2017)		
Observation	Visual	Thompson and Fransson (2017)		
Representation	Visual	Thompson and Fransson (2017)		
Spatial attention	Visual	Thompson and Fransson (2017)		
Face	Visual	Thompson and Fransson (2017)		
Body	Visual	Thompson and Fransson (2017)		
Motion	Visual	Thompson and Fransson (2017)		
Object recognition	Visual	Thompson and Fransson (2017)		
Occipitotemporal	Visual	Thompson and Fransson (2017)		
Recognition	Visual	Thompson and Fransson (2017)		
Meaningful	Visual	Thompson and Fransson (2017)		
Parietal frontal	Visual	Thompson and Fransson (2017)		
Learning	Frontoparietal	Thompson and Fransson (2017)		
Motivational	Frontoparietal	Thompson and Fransson (2017)		
Prediction	Frontoparietal	Thompson and Fransson (2017)		
Risk	Frontoparietal	Thompson and Fransson (2017)		
Choice	Frontoparietal	Thompson and Fransson (2017)		
Expected	Frontoparietal	Thompson and Fransson (2017)		
Decision making	Frontoparietal	Thompson and Fransson (2017)		
Feedback	Frontoparietal	Thompson and Fransson (2017)		
Response inhibition	Frontoparietal	Thompson and Fransson (2017)		
Monitoring	Frontoparietal	Thompson and Fransson (2017)		
Cognitive control	Frontoparietal	Thompson and Fransson (2017)		
Attention	Frontoparietal	Thompson and Fransson (2017)		
Frontoparietal	Frontoparietal	Thompson and Fransson (2017)		
Executive control	Frontoparietal	Thompson and Fransson (2017)		
Conflict	Frontoparietal	Thompson and Fransson (2017)		
Maintenance	Frontoparietal	Thompson and Fransson (2017)		
Domain general	Frontoparietal	Thompson and Fransson (2017)		
Goal	Frontoparietal	Thompson and Fransson (2017)		
Cerebellar 	Motor	Thompson and Fransson (2017)		
Rhythm	Motor	Thompson and Fransson (2017)		
Somatosensory	Motor	Thompson and Fransson (2017)		
Discrimination	Motor	Thompson and Fransson (2017)		
Action	Motor	Thompson and Fransson (2017)		
Motor	Motor	Thompson and Fransson (2017)		
Imitation	Motor	Thompson and Fransson (2017)		
Coordination	Motor	Thompson and Fransson (2017)		
Action observation	Motor	Thompson and Fransson (2017)		
Imagery	Motor	Thompson and Fransson (2017)		
Motor control	Motor	Thompson and Fransson (2017)		
Mirror neuron	Motor	Thompson and Fransson (2017)		
Motor imagery	Motor	Thompson and Fransson (2017)		
Endogenous	Motor	Thompson and Fransson (2017)		
Eye movement	Motor	Thompson and Fransson (2017)		
Intelligence	Motor	Thompson and Fransson (2017)		
Orientation	Motor	Thompson and Fransson (2017)		
Idea	Unclassified	Thompson and Fransson (2017)		
Initiation	Unclassified	Thompson and Fransson (2017)		
Sleep	Unclassified	Thompson and Fransson (2017)		
Engagement	Unclassified	Thompson and Fransson (2017)		
Interpretation	Unclassified	Thompson and Fransson (2017)		
Nociceptive	Pain	Thompson and Fransson (2017)		
Pain	Pain	Thompson and Fransson (2017)		
Interoceptive	Pain	Thompson and Fransson (2017)		
