Behavioral Domain	Neural Region	Citation	Species	Notes
Working memory 	Right /Left ventrolateral prefrontal cortex	Greicius et al. (2002)		Task-related increased activity
Working memory	Right dorsolateral prefrontal cortex	Greicius et al. (2002)		Task-related increased activity
Visual processing	Extrastriate cortex	Greicius et al. (2002)		Task-related increased activity
Pain processing	Dorsal anterior cingulate cortex	Lieberman and Eisenberger (2015)		Based on forward and reverse inference analysis
Penile erection	Paraventricular nucleus of hypothalamus	Kuang-kuo Chen (2000)		Based on rat experiments
Presaccadic remapping	Frontal eye field (FEF)	Rao et. al (2016)		
Visual continuity	Extrastriate cortex	Rao et. al (2016)		
Saccadic eye movements	Superior colliculus	Aizawa et al. (1998)		Based on monkey experiments
Memory retrieval	Posterior cingulate cortex	Power et al.(2011)		
Memory retrieval	Posterior medial parietal cortex	Power et al. (2011)		
Memory retrieval	Lateral parietal cortex	Power et al. (2011)		
Color vision	V4	Lueck et al. (1989)		In macaque monkey
Color vision	Ventral part of V4 (V4v)	Goddard et al. (2011)		In human subjects
Visual field coverage	V1, V2, V3 and V4d 	Goddard et al. (2011)		In human subjects
Attention 	Prefrontal cortex in the right hemisphere	Pardo et al. (1991)		
Attention	Superior parietal cortex in the right hemisphere	Pardo et al. (1991)		
Timing motor task	Lateral cerebellum	Posner et al.(1988)		
Timing sensory task	Lateral cerebellum	Posner et al.(1988)		
Coding words	Left lateral frontal lobe	Posner et al.(1988)		
Task difficulty and processing	Anterior cingulate cortex	Passingham et al. (2002)		Increased in activity 
Task difficulty and processing	Dorsal prefrontal cortex	Passingham et al. (2002)		Increased in activity 
Free recall of memory	Mid dorsolateral cingulate cortex	Duncan et al. (2000)		
Cued recall of memory	Mid ventrolateral cingulate cortex	Duncan et al. (2000)		
Complex task	Rostral anterior cingulate cortex	Margulies et al. (2007)		
Simple task	Caudal anterior cingulate cortex	Margulies et al. (2007)		
Attention control	Superior parietal cortex	Margulies et al. (2007)		
Working memory	Superior parietal cortex 	Margulies et al. (2007)		
Cognition control	Left ACC and left inferior frontal gyrus	Stephan et al. (2003)		Based on coupling activity
