#--dementia--
dementia	core	545
dementia	medial	114
dementia	intermediate	67
dementia	cerebral cortex	67
dementia	nose	45
dementia	substantia nigra	40
dementia	thalamus	32
dementia	ca1	28
dementia	corpus callosum	26
dementia	hippocampal formation	23
#--schizophrenia--
schizophrenia	core	598
schizophrenia	dorsolateral	321
schizophrenia	medial	234
schizophrenia	thalamus	192
schizophrenia	ventral	187
schizophrenia	intermediate	109
schizophrenia	striatum	104
schizophrenia	cerebellum	93
schizophrenia	dorsal	92
schizophrenia	corpus callosum	83
#--obsessive-compulsive disorder--
obsessive-compulsive disorder	core	21
obsessive-compulsive disorder	thalamus	15
obsessive-compulsive disorder	medial	15
obsessive-compulsive disorder	nucleus accumbens	9
obsessive-compulsive disorder	internal capsule	9
obsessive-compulsive disorder	ventral	7
obsessive-compulsive disorder	striatum	7
obsessive-compulsive disorder	dorsolateral	5
obsessive-compulsive disorder	corpus callosum	4
obsessive-compulsive disorder	stria terminalis	3
#--narcolepsy--
narcolepsy	hypothalamus	50
narcolepsy	medial	8
narcolepsy	core	6
narcolepsy	nose	4
narcolepsy	intermediate	4
narcolepsy	midbrain	4
narcolepsy	brain stem	3
narcolepsy	cerebral cortex	3
narcolepsy	trunk	2
#--mood disorders--
mood disorders	core	19
mood disorders	medial	13
mood disorders	thalamus	9
mood disorders	hypothalamus	8
mood disorders	dorsal	8
mood disorders	intermediate	7
mood disorders	vagus nerve	7
mood disorders	dorsolateral	7
mood disorders	striatum	5
mood disorders	cerebellum	5
#--alcohol withdrawal--
alcohol withdrawal	striatum	4
alcohol withdrawal	ca2	4
alcohol withdrawal	core	3
alcohol withdrawal	cerebellum	2
#--intellectual disability--
intellectual disability	corpus callosum	10
intellectual disability	core	7
intellectual disability	optic nerve	3
intellectual disability	hindbrain	2
#--impulse control disorders--
impulse control disorders	subthalamic nucleus	7
impulse control disorders	ventral	3
impulse control disorders	core	2
#--autism spectrum disorder--
autism spectrum disorder	core	51
autism spectrum disorder	cerebellum	5
autism spectrum disorder	corpus callosum	5
autism spectrum disorder	mouth	5
autism spectrum disorder	cerebral cortex	3
autism spectrum disorder	ca1	2
autism spectrum disorder	dorsal	2
autism spectrum disorder	optic nerve	2
autism spectrum disorder	medial	2
#--gambling disorder--
gambling disorder	corpus callosum	2
gambling disorder	striatum	2
#--frontotemporal dementia--
frontotemporal dementia	core	22
frontotemporal dementia	medial	11
frontotemporal dementia	cerebral cortex	7
frontotemporal dementia	intermediate	6
frontotemporal dementia	thalamus	3
frontotemporal dementia	striatum	2
frontotemporal dementia	ventral	2
frontotemporal dementia	corpus callosum	2
#--personality disorder--
personality disorder	core	25
personality disorder	nose	4
#--conversion disorder--
conversion disorder	core	2
#--panic disorder--
panic disorder	core	26
panic disorder	dorsal	9
panic disorder	intermediate	6
panic disorder	medial	5
panic disorder	midbrain	4
panic disorder	dorsomedial	4
