pmid	disorder	structure
26493280	dementia	core
7781188	schizophrenia	thalamus
27994542	obsessive-compulsive disorder	nucleus accumbens
10607123	narcolepsy	core
11063977	mood disorders	medial
23991097	schizophrenia	intermediate
26860616	alcohol withdrawal	dorsal
32203252	intellectual disability	corpus callosum
31710401	impulse control disorders	ventral
31710401	impulse control disorders	subthalamic nucleus
24290381	autism spectrum disorder	cerebellum
32671341	dementia	core
27004598	schizophrenia	dorsolateral
15290698	dementia	core
25174840	schizophrenia	cingulum bundle
25174840	schizophrenia	cingulum bundle
15380297	schizophrenia	dorsolateral
15380297	schizophrenia	medial
30805951	dementia	core
25282171	schizophrenia	ventral
25282171	schizophrenia	ventral
27432008	schizophrenia	ventral
29385594	schizophrenia	core
26846614	gambling disorder	corpus callosum
26846614	gambling disorder	corpus callosum
26667277	frontotemporal dementia	core
18508630	obsessive-compulsive disorder	ventral
26124116	schizophrenia	medial
26124116	schizophrenia	medial
22322113	schizophrenia	ventral
1821487	schizophrenia	midbrain
31299274	schizophrenia	ventral
16801642	dementia	core
24342994	schizophrenia	core
26827657	dementia	medial
22939818	personality disorder	thalamus
31873787	frontotemporal dementia	core
25241043	schizophrenia	dorsal
25241043	schizophrenia	ventral
25241043	schizophrenia	dorsal
30850473	conversion disorder	core
16797186	schizophrenia	medial
26969581	panic disorder	core
20347881	schizophrenia	core
33209972	dementia	nose
9209727	schizophrenia	dorsal
18480414	nicotine dependence	interpeduncular nucleus
17360163	schizophrenia	dorsal
17360163	schizophrenia	dorsolateral
25932637	dementia	dorsal
31701893	dementia	core
21184782	schizophrenia	ventral
31602784	autism spectrum disorder	core
11111409	dementia	core
32790267	intellectual disability	nose
28991666	dementia	core
11083166	schizophrenia	medial
11083166	schizophrenia	medial
24315617	schizophrenia	core
31364526	schizophrenia	dorsolateral
18262394	schizophrenia	medial
24318124	dementia	hypothalamus
32073681	impulse control disorders	core
27639684	dementia	medial
22682988	schizophrenia	core
32561678	dementia	core
27315593	alcohol dependence	core
28625940	dementia	nose
20143199	schizophrenia	ventral
20143199	schizophrenia	ventral
8552110	catatonia	dorsolateral
29523295	schizophrenia	ca2
24755307	schizophrenia	ventral
27012442	alcohol intoxication	medial
28379303	frontotemporal dementia	medial
24622054	autism spectrum disorder	core
18227417	dementia	dorsal
21252111	dementia	core
11739842	dementia	core
26803362	schizophrenia	intermediate
26803362	schizophrenia	mouth
24273708	autism spectrum disorder	core
17894380	neurocognitive disorders	intermediate
16085785	dementia	core
26686679	intellectual disability	corpus callosum
22718430	dementia	core
29029762	dementia	core
27481817	schizophrenia	core
11402143	dementia	hippocampal formation
27602201	autism spectrum disorder	core
22895156	schizophrenia	ventral
26548362	schizophrenia	midbrain
26547881	schizophrenia	core
15007124	dementia	medial
19995568	schizophrenia	cerebral cortex
23768914	schizophrenia	medial
19683896	schizophrenia	dorsolateral
27064909	schizophrenia	core
24296414	delirium	nose
22712650	dementia	medial
26594141	neurodevelopmental disorders	cerebellum
19252799	rem sleep behaviour disorder	substantia nigra
29949732	schizophrenia	intermediate
19275917	schizophrenia	nose
22366790	frontotemporal dementia	medial
28195571	obsessive-compulsive disorder	stria terminalis
18375081	narcolepsy	hypothalamus
30761606	dementia	core
31690846	schizophrenia	core
10699665	schizophrenia	ventral
16254067	schizophrenia	dorsolateral
32652810	autism spectrum disorder	ca3
25728236	schizophrenia	thalamus
18278382	impulse control disorders	medial
31982447	autism spectrum disorder	core
32064741	anorexia nervosa	core
16637589	schizophrenia	thalamus
16977475	schizophrenia	core
12591026	frontotemporal dementia	striatum
30116174	autism spectrum disorder	core
31597710	dementia	medial
15990338	schizophrenia	dorsolateral
15990338	schizophrenia	medial
29680871	dementia	third ventricle
30223398	dementia	core
28583411	schizophrenia	core
27145766	schizophrenia	ventral
21835979	attention deficit hyperactivity disorder	midbrain
10828529	schizophrenia	dorsolateral
11923448	schizophrenia	ventral
30820860	schizophrenia	dorsolateral
24554310	schizophrenia	ventral
22341900	schizophrenia	medial
28070120	mood disorders	intermediate
23531082	schizophrenia	core
22960335	neurodevelopmental disorders	core
20727962	schizophrenia	ventral
23001314	obsessive-compulsive disorder	dorsal
22474103	alcohol dependence	intermediate
22474103	alcohol dependence	hindbrain
18331156	schizophrenia	cerebellum
17874461	attention deficit hyperactivity disorder	dorsal
27166333	autism spectrum disorder	core
30112785	dementia	nose
19878140	alcohol dependence	core
24866553	attention deficit hyperactivity disorder	core
31713306	dementia	core
31713306	dementia	core
26527249	schizophrenia	cerebellum
26453290	attention deficit hyperactivity disorder	superior colliculus
23354531	schizophrenia	core
18385331	alcohol withdrawal	medial
22037127	mood disorders	vagus nerve
7487561	dementia	core
17907815	schizophrenia	core
10858628	schizophrenia	hippocampal region
10858628	schizophrenia	dorsal
8988799	mood disorders	thalamus
16490411	mood disorders	thalamus
16490411	mood disorders	vagus nerve
29136354	intellectual disability	corpus callosum
18487520	autism spectrum disorder	cerebellum
27017341	dementia	medial
21041596	intellectual disability	core
28662127	dementia	core
28662127	dementia	core
28662127	dementia	core
31047973	autism spectrum disorder	core
27354958	schizophrenia	striatum
25598502	schizophrenia	intermediate
29407465	dementia	hippocampal formation
30099076	schizophrenia	cerebellum
21350486	depressive disorders	ventral
28338738	schizophrenia	core
28338738	schizophrenia	intermediate
28322246	schizophrenia	core
2035108	dementia	thalamus
