pmid	disorder	verb
26493280	dementia	state
7781188	schizophrenia	driving
27994542	obsessive-compulsive disorder	been
10607123	narcolepsy	indicate
11063977	mood disorders	following
23991097	schizophrenia	identify
26860616	alcohol withdrawal	tends
32203252	intellectual disability	had
31710401	impulse control disorders	course
31710401	impulse control disorders	ring
24290381	autism spectrum disorder	suggest
32671341	dementia	report
27004598	schizophrenia	found
15290698	dementia	found
25174840	schizophrenia	matched
25174840	schizophrenia	showed
15380297	schizophrenia	compared
15380297	schizophrenia	impaired
30805951	dementia	identify
25282171	schizophrenia	develop
25282171	schizophrenia	induce
27432008	schizophrenia	ring
29385594	schizophrenia	controls
26846614	gambling disorder	order
26846614	gambling disorder	reduced
26667277	frontotemporal dementia	controlling
18508630	obsessive-compulsive disorder	studies
26124116	schizophrenia	compared
26124116	schizophrenia	impaired
22322113	schizophrenia	considered
1821487	schizophrenia	presented
31299274	schizophrenia	treated
16801642	dementia	scale
24342994	schizophrenia	been
26827657	dementia	spreading
22939818	personality disorder	grade
31873787	frontotemporal dementia	directed
25241043	schizophrenia	used
25241043	schizophrenia	decreased
25241043	schizophrenia	suggest
30850473	conversion disorder	related
16797186	schizophrenia	studies
26969581	panic disorder	present
20347881	schizophrenia	working
33209972	dementia	used
9209727	schizophrenia	rent
18480414	nicotine dependence	review
17360163	schizophrenia	extend
17360163	schizophrenia	controls
25932637	dementia	present
31701893	dementia	change
21184782	schizophrenia	including
31602784	autism spectrum disorder	order
11111409	dementia	develop
32790267	intellectual disability	delay
28991666	dementia	showed
11083166	schizophrenia	had
11083166	schizophrenia	contrast
24315617	schizophrenia	considered
31364526	schizophrenia	measured
18262394	schizophrenia	propose
24318124	dementia	stress
32073681	impulse control disorders	had
27639684	dementia	showed
22682988	schizophrenia	act
32561678	dementia	compared
27315593	alcohol dependence	set
28625940	dementia	cause
20143199	schizophrenia	proposed
20143199	schizophrenia	point
8552110	catatonia	own
29523295	schizophrenia	connecting
24755307	schizophrenia	chose
27012442	alcohol intoxication	increased
28379303	frontotemporal dementia	show
24622054	autism spectrum disorder	order
18227417	dementia	occurs
21252111	dementia	found
11739842	dementia	controls
26803362	schizophrenia	lies
26803362	schizophrenia	lies
24273708	autism spectrum disorder	order
17894380	neurocognitive disorders	counts
16085785	dementia	measured
26686679	intellectual disability	including
22718430	dementia	mean
29029762	dementia	included
27481817	schizophrenia	ground
11402143	dementia	ring
27602201	autism spectrum disorder	ground
22895156	schizophrenia	implicated
26548362	schizophrenia	search
26547881	schizophrenia	approach
15007124	dementia	made
19995568	schizophrenia	type
23768914	schizophrenia	ring
19683896	schizophrenia	controls
27064909	schizophrenia	suggest
24296414	delirium	change
22712650	dementia	type
26594141	neurodevelopmental disorders	review
19252799	rem sleep behaviour disorder	been
29949732	schizophrenia	using
19275917	schizophrenia	reported
22366790	frontotemporal dementia	propose
28195571	obsessive-compulsive disorder	showed
18375081	narcolepsy	containing
30761606	dementia	had
31690846	schizophrenia	contribute
10699665	schizophrenia	produces
16254067	schizophrenia	received
32652810	autism spectrum disorder	repeat
25728236	schizophrenia	changes
18278382	impulse control disorders	studies
31982447	autism spectrum disorder	order
32064741	anorexia nervosa	eating
16637589	schizophrenia	observed
16977475	schizophrenia	suggest
12591026	frontotemporal dementia	orders
30116174	autism spectrum disorder	order
31597710	dementia	included
15990338	schizophrenia	showed
15990338	schizophrenia	come
29680871	dementia	growing
30223398	dementia	used
28583411	schizophrenia	order
27145766	schizophrenia	led
21835979	attention deficit hyperactivity disorder	orders
10828529	schizophrenia	been
11923448	schizophrenia	damage
30820860	schizophrenia	compared
24554310	schizophrenia	lie
22341900	schizophrenia	implicate
28070120	mood disorders	lying
23531082	schizophrenia	lies
22960335	neurodevelopmental disorders	orders
20727962	schizophrenia	review
23001314	obsessive-compulsive disorder	related
22474103	alcohol dependence	test
22474103	alcohol dependence	met
18331156	schizophrenia	support
17874461	attention deficit hyperactivity disorder	changes
27166333	autism spectrum disorder	order
30112785	dementia	shows
19878140	alcohol dependence	phone
24866553	attention deficit hyperactivity disorder	describes
31713306	dementia	controls
31713306	dementia	compared
26527249	schizophrenia	been
26453290	attention deficit hyperactivity disorder	order
23354531	schizophrenia	present
18385331	alcohol withdrawal	observed
22037127	mood disorders	ground
7487561	dementia	measures
17907815	schizophrenia	improved
10858628	schizophrenia	related
10858628	schizophrenia	suggest
8988799	mood disorders	orders
16490411	mood disorders	identified
16490411	mood disorders	try
29136354	intellectual disability	report
18487520	autism spectrum disorder	order
27017341	dementia	showed
21041596	intellectual disability	sleep
28662127	dementia	produce
28662127	dementia	search
28662127	dementia	comes
31047973	autism spectrum disorder	order
